Category: All categories

Week,bitcoin: (Worldwide)
2012-01-01,51
2012-01-08,51
2012-01-15,90
2012-01-22,53
2012-01-29,53
2012-02-05,47
2012-02-12,47
2012-02-19,40
2012-02-26,52
2012-03-04,41
2012-03-11,39
2012-03-18,39
2012-03-25,38
2012-04-01,54
2012-04-08,48
2012-04-15,40
2012-04-22,49
2012-04-29,40
2012-05-06,54
2012-05-13,48
2012-05-20,41
2012-05-27,38
2012-06-03,41
2012-06-10,49
2012-06-17,49
2012-06-24,46
2012-07-01,43
2012-07-08,55
2012-07-15,56
2012-07-22,53
2012-07-29,57
2012-08-05,55
2012-08-12,75
2012-08-19,80
2012-08-26,61
2012-09-02,100
2012-09-09,65
2012-09-16,63
2012-09-23,61
2012-09-30,63
2012-10-07,62
2012-10-14,55
2012-10-21,55
2012-10-28,49
2012-11-04,53
2012-11-11,59
2012-11-18,60
2012-11-25,77
2012-12-02,71
2012-12-09,90
2012-12-16,63
2012-12-23,56
2012-12-30,69
